customer_id,segment,archetype,arm,weekday,daypart,reward,logging_propensity
CUS-0001,mixed_slow_flagged,ERRATIC,mon_midday,mon,midday,0,0.06666666666666667
CUS-0001,mixed_slow_flagged,ERRATIC,thu_late,thu,late,1,0.06666666666666667
CUS-0001,mixed_slow_flagged,ERRATIC,wed_midday,wed,midday,0,0.06666666666666667
CUS-0001,mixed_slow_flagged,ERRATIC,fri_late,fri,late,0,0.06666666666666667
CUS-0001,mixed_slow_flagged,ERRATIC,wed_midday,wed,midday,0,0.06666666666666667
CUS-0001,mixed_slow_flagged,ERRATIC,tue_late,tue,late,1,0.06666666666666667
CUS-0001,mixed_slow_flagged,ERRATIC,wed_morning,wed,morning,1,0.06666666666666667
CUS-0001,mixed_slow_flagged,ERRATIC,tue_morning,tue,morning,0,0.06666666666666667
CUS-0001,mixed_slow_flagged,ERRATIC,mon_late,mon,late,0,0.06666666666666667
CUS-0001,mixed_slow_flagged,ERRATIC,thu_late,thu,late,0,0.06666666666666667
CUS-0001,mixed_slow_flagged,ERRATIC,thu_late,thu,late,1,0.06666666666666667
CUS-0001,mixed_slow_flagged,ERRATIC,mon_late,mon,late,0,0.06666666666666667
CUS-0002,mixed_verylate_flagged,ERRATIC,fri_midday,fri,midday,0,0.06666666666666667
CUS-0002,mixed_verylate_flagged,ERRATIC,thu_late,thu,late,0,0.06666666666666667
CUS-0002,mixed_verylate_flagged,ERRATIC,thu_late,thu,late,0,0.06666666666666667
CUS-0002,mixed_verylate_flagged,ERRATIC,mon_late,mon,late,0,0.06666666666666667
CUS-0002,mixed_verylate_flagged,ERRATIC,fri_late,fri,late,0,0.06666666666666667
CUS-0002,mixed_verylate_flagged,ERRATIC,wed_morning,wed,morning,0,0.06666666666666667
CUS-0002,mixed_verylate_flagged,ERRATIC,fri_midday,fri,midday,1,0.06666666666666667
CUS-0002,mixed_verylate_flagged,ERRATIC,tue_midday,tue,midday,1,0.06666666666666667
CUS-0002,mixed_verylate_flagged,ERRATIC,thu_late,thu,late,0,0.06666666666666667
CUS-0002,mixed_verylate_flagged,ERRATIC,thu_late,thu,late,1,0.06666666666666667
CUS-0002,mixed_verylate_flagged,ERRATIC,wed_midday,wed,midday,1,0.06666666666666667
CUS-0002,mixed_verylate_flagged,ERRATIC,wed_late,wed,late,0,0.06666666666666667
CUS-0003,strained_verylate_flagged,LATE_BUT_PAYS,fri_morning,fri,morning,0,0.06666666666666667
CUS-0003,strained_verylate_flagged,LATE_BUT_PAYS,wed_late,wed,late,0,0.06666666666666667
CUS-0003,strained_verylate_flagged,LATE_BUT_PAYS,thu_late,thu,late,1,0.06666666666666667
CUS-0003,strained_verylate_flagged,LATE_BUT_PAYS,tue_midday,tue,midday,1,0.06666666666666667
CUS-0003,strained_verylate_flagged,LATE_BUT_PAYS,fri_late,fri,late,1,0.06666666666666667
CUS-0003,strained_verylate_flagged,LATE_BUT_PAYS,fri_morning,fri,morning,1,0.06666666666666667
CUS-0003,strained_verylate_flagged,LATE_BUT_PAYS,wed_morning,wed,morning,0,0.06666666666666667
CUS-0003,strained_verylate_flagged,LATE_BUT_PAYS,thu_morning,thu,morning,1,0.06666666666666667
CUS-0003,strained_verylate_flagged,LATE_BUT_PAYS,wed_morning,wed,morning,1,0.06666666666666667
CUS-0003,strained_verylate_flagged,LATE_BUT_PAYS,fri_morning,fri,morning,0,0.06666666666666667
CUS-0003,strained_verylate_flagged,LATE_BUT_PAYS,thu_midday,thu,midday,1,0.06666666666666667
CUS-0003,strained_verylate_flagged,LATE_BUT_PAYS,wed_morning,wed,morning,0,0.06666666666666667
CUS-0004,strained_slow_clean,NEW_UNKNOWN,wed_midday,wed,midday,1,0.06666666666666667
CUS-0004,strained_slow_clean,NEW_UNKNOWN,wed_morning,wed,morning,0,0.06666666666666667
CUS-0004,strained_slow_clean,NEW_UNKNOWN,fri_late,fri,late,0,0.06666666666666667
CUS-0004,strained_slow_clean,NEW_UNKNOWN,mon_midday,mon,midday,0,0.06666666666666667
CUS-0004,strained_slow_clean,NEW_UNKNOWN,wed_morning,wed,morning,0,0.06666666666666667
CUS-0004,strained_slow_clean,NEW_UNKNOWN,tue_morning,tue,morning,0,0.06666666666666667
CUS-0004,strained_slow_clean,NEW_UNKNOWN,thu_late,thu,late,0,0.06666666666666667
CUS-0004,strained_slow_clean,NEW_UNKNOWN,tue_midday,tue,midday,1,0.06666666666666667
CUS-0004,strained_slow_clean,NEW_UNKNOWN,thu_midday,thu,midday,1,0.06666666666666667
CUS-0004,strained_slow_clean,NEW_UNKNOWN,tue_midday,tue,midday,0,0.06666666666666667
CUS-0004,strained_slow_clean,NEW_UNKNOWN,wed_midday,wed,midday,0,0.06666666666666667
CUS-0004,strained_slow_clean,NEW_UNKNOWN,thu_midday,thu,midday,0,0.06666666666666667
CUS-0005,reliable_prompt_clean,RELIABLE,thu_morning,thu,morning,1,0.06666666666666667
CUS-0005,reliable_prompt_clean,RELIABLE,mon_midday,mon,midday,1,0.06666666666666667
CUS-0005,reliable_prompt_clean,RELIABLE,thu_morning,thu,morning,1,0.06666666666666667
